Pool,Zone,Distance,nitrogen,Total Nonnative PC
6,E,0,0.007724398132,4
6,T,2,0.003847586701,6
6,M,4,0.007432065191,0
6,M,6,0.006253393419,0
6,T,8,0.00663285763,3
6,E,10,0.007875542199,11
7,E,0,0.009655814961,5
7,T,2,0.005107174365,2
7,M,10,0.00743957549,0
7,M,12,0.007013557691,0
7,T,22,0.005264334244,2
7,E,26,0.01413018287,5
9,E,0,0.006415212619,7
9,T,2,0.012482941,7
9,M,6,0.01087012756,0
9,M,8,0.009542586248,1
9,T,14,0.009539311007,4
9,E,16,0.00637824212,8
14,E,0,0.006258523563,2
14,T,4,0.006578944568,0
14,M,14,0.005833516434,2
14,M,16,0.00625971308,0
14,T,26,0.006721485399,0
14,E,28,0.008159341121,5
16,E,0,0.01221672727,34
16,T,4,0.01016202894,10
16,M,14,0.01051232595,1
16,M,16,0.01246003702,1
16,T,24,0.009949305514,14
16,E,26,0.01335465716,17
PH1,E,0,0.008270229846,3
PH2,T,4,0.01479648247,0
PH3,M,10,0.01431840529,0
PH4,M,12,0.01549227856,0
PH5,T,20,0.007188009906,3
PH6,E,22,0.009490524953,5
