ObjectID,GlobalID,Monitoring Date,Monitor Names,Vernal Pool?,Vernal Pool Name or Number,Vernal Pool Axis,Project Site,Total Transect Length,Transect Distance of Quadrat,Side of Transect (Left or Right),Vernal Pool Zone,Quadrat Notes (Optional),Percent Bare Ground,Percent Natural Thatch,Percent Mowed/Trimmed Thatch,Thatch Notes (Optional),Count of Native Species,Sum of Native Cover,Count of Non-Native Species,Sum of Non-Native Cover,Count of Unknown Species,Sum of Unknown Cover,Sum of Thatch,Sum of Other Cover,Bare Ground,SUM of ALL COVER,CreationDate,Creator,EditDate,Editor,x,y
530,41ec2191-ba36-42e8-abb8-2ccbacfc15c3,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,0,Left,edge,,0,30,25,,2,12,6,34,0,0,55,0,0,101,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.8793948,34.4220894
531,3a9babf4-6984-4f04-8699-a0da07a6ba63,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,2,Right,transition,,0,19,0,,6,73,4,18,0,0,19,3,0,113,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.8815547,34.4224944
532,81f1a711-7ffb-4f01-a743-a69b908cf2f9,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,4,Left,transition,,9,3,0,,3,83,3,10,0,0,3,1,9,106,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.8815853,34.4224877
533,3ccf80c6-dbd9-481e-8933-3d9a1297233b,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,6,Right,bottom,,7,2,0,,1,94,0,0,1,2,2,0,7,105,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.8815999,34.4224829
534,a04ca7f2-11df-4d28-82ff-88a80041573e,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,8,Left,bottom,,20,0,0,,2,62,1,23,1,7,0,0,20,112,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.881554,34.4224982
535,f197696a-4df4-4a92-8770-d5ae29726496,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,10,Right,bottom,,30,1,0,,3,68,1,4,1,1,1,0,30,104,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.8815598,34.4224978
536,13d881dc-47a2-4fb1-9336-44d28344879b,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,12,Left,bottom,,20,8,0,,1,75,1,4,1,2,8,0,20,109,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.8816786,34.4225086
537,0109ea76-5372-47d1-a2f4-35b91ed2fafc,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,14,Right,bottom,,24,2,0,,2,76,1,1,1,5,2,0,24,108,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.8809268,34.4225068
538,638e7968-6d73-49cb-970d-795188d964d4,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,16,Left,bottom,,20,2,0,,2,80,1,1,1,0,2,1,20,104,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.881768,34.4225434
539,1f499808-5864-477d-a19b-9f6c747417c7,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,18,Right,bottom,,15,3,0,,2,85,1,1,1,1,3,0,15,105,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.8816242,34.4225114
540,f9e3c162-5c06-4a52-9e42-4c9c13b7d769,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,20,Left,bottom,Rabbit poop spotted,22,18,0,,1,60,1,1,1,2,18,0,22,103,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.8817592,34.4225559
541,a0aad3d7-989f-4c4e-98aa-08c5d9236c9b,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,22,Right,bottom,,25,2,0,,2,81,0,0,1,6,2,0,25,114,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.8816599,34.4225554
542,c80522ed-8176-4f5d-b0cc-21c1fd3baf6d,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,24,Left,transition,,1,15,0,,4,91,4,14,0,0,15,0,1,121,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.8817917,34.4225371
543,9920f992-4fc5-4c5f-9ff1-163f0dced5a7,6/8/21 19:00,Lauren Weichert,yes,16,major,north_parcel,26,26,Right,edge,,0,10,0,,1,85,5,17,0,0,10,0,0,112,6/9/21 0:01,ccber_user,6/9/21 0:01,ccber_user,-119.881805,34.4225347
1285,bac22aa2-04d6-403d-b865-4ac9d1228372,6/17/21 19:00,Lauren Weichert,yes,6,major,north_parcel,10,0,Left,edge,,65,3,24,,4,6,4,4,0,0,27,0,65,102,6/18/21 0:00,ccber_user,6/18/21 0:00,ccber_user,-119.871108,34.4215371
1286,032ca2e2-dac6-40bf-8006-11410da1ba3a,6/17/21 19:00,Lauren Weichert,yes,6,major,north_parcel,10,2,Right,transition,,70,3,3,,6,20,6,9,0,0,6,0,70,105,6/18/21 0:00,ccber_user,6/18/21 0:00,ccber_user,-119.883522,34.4237231
1287,d357a224-862a-43da-8636-baa0d39f42ad,6/17/21 19:00,Lauren Weichert,yes,6,major,north_parcel,10,4,Left,bottom,Water level gauge at 5 m on right side,1,99,0,,2,72,0,0,0,0,99,0,1,172,6/18/21 0:00,ccber_user,6/18/21 0:00,ccber_user,-119.8835412,34.4237487
1288,5b6663ec-992e-4fa2-aeab-442a1d7fd7c7,6/17/21 19:00,Lauren Weichert,yes,6,major,north_parcel,10,6,Right,bottom,Just barely missing Eryngium vaseyi ,10,30,0,,2,65,0,0,0,0,30,0,10,105,6/18/21 0:00,ccber_user,6/18/21 0:00,ccber_user,-119.8835462,34.4237068
1289,ceb428f4-da12-4d17-82a9-c581eeecf37f,6/17/21 19:00,Lauren Weichert & Elizabeth,yes,6,major,north_parcel,10,8,Left,transition,,60,19,0,,5,24,3,10,0,0,19,0,60,113,6/18/21 0:00,ccber_user,6/18/21 0:00,ccber_user,-119.8836167,34.4237584
1290,dbef698a-c323-414f-bd1c-c323bd704878,6/17/21 19:00,Lauren Weichert and Elizabeth,yes,6,major,north_parcel,10,10,Right,edge,,85,8,0,,4,4,11,25,0,0,8,0,85,122,6/18/21 0:00,ccber_user,6/18/21 0:00,ccber_user,-119.8836259,34.4236832
1312,b20cbb29-05fa-41fb-948e-89fe98dd858b,6/21/21 19:00,"Lauren, jackson",yes,7,major,north_parcel,26,0,Left,edge,,60,0,1,,9,39,5,15,0,0,1,0,60,115,6/21/21 23:52,ccber_user,6/21/21 23:52,ccber_user,-119.8830878,34.4237176
1313,0585da83-9c30-48e5-81e5-6b69be87368b,6/21/21 19:00,"Lauren, jackson",yes,7,major,north_parcel,26,2,Right,transition,,25,0,0,,3,64,2,22,0,0,0,0,25,111,6/21/21 23:52,ccber_user,6/21/21 23:52,ccber_user,-119.8830829,34.423702
1314,a785bcd9-ba36-4189-aabb-d657d9ce5afd,6/21/21 19:00,"Lauren, jackson",yes,7,major,north_parcel,26,4,Left,bottom,,10,0,0,,6,55,2,41,0,0,0,0,10,106,6/21/21 23:52,ccber_user,6/21/21 23:52,ccber_user,-119.8831087,34.423728
1315,eb541340-7baa-4392-8f45-6b7625150318,6/21/21 19:00,"Lauren, jackson",yes,7,major,north_parcel,26,6,Right,bottom,,20,3,0,,6,35,1,50,0,0,3,0,20,108,6/21/21 23:52,ccber_user,6/21/21 23:52,ccber_user,-119.8831301,34.4237142
1316,6aa9fb62-ea76-4f51-8733-46c3bafe823d,6/21/21 19:00,"Lauren, jackson",yes,7,major,north_parcel,26,8,Left,bottom,,25,40,0,,2,88,0,0,0,0,40,0,25,153,6/21/21 23:52,ccber_user,6/21/21 23:52,ccber_user,-119.8831441,34.4237294
1317,d97d9343-e1de-45b2-8c95-6598ec7be031,6/21/21 19:00,"Lauren, jackson",yes,7,major,north_parcel,26,10,Right,bottom,,7,65,0,,1,85,0,0,0,0,65,0,7,157,6/21/21 23:52,ccber_user,6/21/21 23:52,ccber_user,-119.8831653,34.4237185
1318,cb1ba245-36ab-4b8b-9f72-f3e011d06192,6/21/21 19:00,"Lauren, jackson",yes,7,major,north_parcel,26,12,Left,bottom,,5,70,0,,2,82,0,0,0,0,70,0,5,157,6/21/21 23:52,ccber_user,6/21/21 23:52,ccber_user,-119.8831854,34.4237385
1319,3c429f01-c8ff-412b-bac8-bf490cc337be,6/21/21 19:00,"Lauren, jackson",yes,7,major,north_parcel,26,14,Right,bottom,,20,35,0,,2,69,0,0,0,0,35,0,20,124,6/21/21 23:52,ccber_user,6/21/21 23:52,ccber_user,-119.8832354,34.4237614
